label,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20
A,0.0,0.0,1.0310898225547207,1.2433312118762707,1.1240275935216026,1.0919569608096396,1.1605102450228773,0.9424713186643778,1.2064277852666319,0.8416951856813106,1.0804399717221627,0.8971972418627712,1.1209836838814478,0.9056015190118663,1.087987512661904,1.029918273557548,1.057267317364354,0.994862801448285,0.9937553346521496,0.8625533445760142,1.0414858560286888,0.8932508890328654,1.0185861166749715,1.049900159578014,1.0,1.0,-0.3861768245697021,-0.4044598639011383,-0.4002349078655243,-0.4235836863517761,-0.4008961617946625,-0.4860420525074005,-0.3930233120918274,-0.4672380983829498,-0.3594744205474853,-0.4103688895702362,-0.3697634637355804,-0.4434411227703094,-0.3753434121608734,-0.4852327108383178,-0.3698886334896087,-0.4686974883079529
A,0.0,0.0,1.0417348320157451,1.1592221206115145,1.123195938556895,1.0408361177434833,1.166567917152704,0.9287458471071193,1.2196179256669473,0.8595627734741491,1.0691287257265227,0.8260417963982364,1.0884431326510802,0.8978260250721455,1.0726941734367663,1.000078876794447,1.0530547906289678,0.9977141149134076,0.9987041855216555,0.8018445901787121,1.0176889730602685,0.9055864341402488,1.0126940888834337,1.0248565094705528,1.0,1.0,-0.4005561172962188,-0.4128516614437103,-0.4076911211013794,-0.4650708436965942,-0.4108522236347198,-0.5173059105873108,-0.4078832864761352,-0.5038597583770752,-0.373860239982605,-0.4315751791000366,-0.3804275691509247,-0.4728837013244629,-0.3873147368431091,-0.5143818259239197,-0.3866932392120361,-0.5108697414398193
A,0.0,0.0,1.0651143738886575,1.2130659558880899,1.1706855136552938,1.0815921491844165,1.227307934082494,0.9481469793026263,1.305145995811578,0.8591316854710946,1.1048913113460035,0.8508927913915723,1.0716912187902272,0.8991052221040192,1.0666333304588496,0.992049727805099,1.0746858195732054,0.9750480030187361,0.9986112731530888,0.8207177581418683,0.9596845845857173,0.9095463518425283,0.9794880869556056,1.0368859769619299,1.0,1.0,-0.2735032141208648,-0.3984919786453247,-0.261783242225647,-0.4396469295024872,-0.2728078663349151,-0.4958807229995727,-0.282560795545578,-0.4807552695274353,-0.2444678843021392,-0.4147482514381408,-0.2371084988117218,-0.4475104510784149,-0.2472546845674514,-0.4930355548858642,-0.2549300491809845,-0.490642637014389
A,0.0,0.0,1.0473290461046794,1.4142785412210728,1.131484733601742,1.1698661871278337,1.1562711293531558,0.8997484129440021,1.1714602948318267,0.7122100434582066,1.093618974511616,0.9038187950419111,1.0990139896291886,0.8348481103562095,1.077571397239672,1.0377046489706978,1.0581890244857675,1.0014010335947487,1.006825074804568,0.87367073180489,1.0156538154246235,0.800877532710426,1.0068742656619616,1.0691585992085968,1.0,1.0,-0.3543470799922943,-0.2458479553461074,-0.3527780473232269,-0.2267903536558151,-0.3574699759483337,-0.2933693528175354,-0.3571288585662842,-0.2807124257087707,-0.3260635733604431,-0.2486772686243057,-0.3251109421253204,-0.254324734210968,-0.3321263790130615,-0.2970912754535675,-0.3351514041423797,-0.2873377799987793
A,0.0,0.0,1.046500006969001,1.4800779621317197,1.1221465962251296,1.2351407964181245,1.152046136929685,0.9794773414705206,1.188043629927371,0.8141752214284559,1.0904789970397828,0.9310916225029582,1.091288626452826,0.7917495779415065,1.077703822979415,1.0074377354776745,1.0660352649820883,1.0202417012305496,1.002814251009318,0.9118022528336357,1.0134746013616662,0.7767641059781757,1.0080512636636452,1.0498291573911962,1.0,1.0,-0.36087366938591,-0.2590484619140625,-0.3608848452568054,-0.218020886182785,-0.3661352396011352,-0.2840738594532013,-0.3647510111331939,-0.2768176198005676,-0.3326554596424103,-0.2672315537929535,-0.3325902223587036,-0.2551833689212799,-0.3406634628772735,-0.2957360744476318,-0.3421172499656677,-0.2921705842018127
A,0.0,0.0,1.053309842083391,1.221878197571703,1.1337624084043754,1.0610109200458295,1.1455055632382531,0.8943675843219482,1.1570305878320157,0.7593668300453784,1.0915557110356144,0.7624399926986961,1.0911702962521217,0.8919288990877331,1.0711409069991853,1.0109073128025696,1.0534408816423702,0.9868423575944858,1.0088124470265614,0.7193637741188958,1.0076591374926336,0.8955588987515501,1.0051065807978474,1.0367238356287332,1.0,1.0,-0.3788555860519409,-0.2851215600967407,-0.3760933578014374,-0.3560239970684051,-0.3819464743137359,-0.4055629968643188,-0.384401261806488,-0.3911597430706024,-0.3511306345462799,-0.3060488700866699,-0.3494692146778106,-0.3663543164730072,-0.358250617980957,-0.4066366851329803,-0.3630332946777344,-0.398720383644104
A,0.0,0.0,1.0115158234218373,1.173918647720623,1.0742318377380635,1.0489179184317154,1.0990909699618552,0.9177037833337608,1.1275007975257085,0.8243359434413726,1.0554936087057394,0.820774096417828,1.0890683748217296,0.9002827334372383,1.0644749423393178,1.0074104572295461,1.0423507475417444,0.9997770071964195,1.00428094314452,0.7767225363026451,1.0389321557247846,0.8995515449866782,1.0164139960217542,1.0269448167775255,1.0,1.0,-0.5340466499328613,-0.3457540869712829,-0.5498967170715332,-0.4001342356204986,-0.5429225564002991,-0.450934886932373,-0.5355820655822754,-0.4389892816543579,-0.5088472366333008,-0.3599315881729126,-0.5224713087081909,-0.4051167368888855,-0.5222271680831909,-0.4440337121486664,-0.5172003507614136,-0.4366093873977661
A,0.0,0.0,1.05205093427475,1.2040373786106136,1.1375595252930737,1.0482649331118097,1.171318275702103,0.8919064815579608,1.2182373518550826,0.7790305067681067,1.0916458366665351,0.7776415445344292,1.0741504053307647,0.8888309653122028,1.0664580852694046,0.9938020268437413,1.062872296890414,0.974026917763115,1.0083870464600793,0.7338041542187397,0.9804717643284806,0.8901510210572512,0.9904149303866622,1.0300016293826897,1.0,1.0,-0.3443024456501007,-0.2978751957416534,-0.3327675461769104,-0.3602764904499054,-0.3416511714458465,-0.4109652042388916,-0.3488472700119018,-0.3998528718948364,-0.3177430033683777,-0.3155279159545898,-0.3088038861751556,-0.3666384220123291,-0.318461149930954,-0.408785879611969,-0.3263792991638183,-0.4055203795433044
A,0.0,0.0,1.0348123517736874,1.042709301610779,1.094321395175918,0.9777151042898843,1.1185554956841774,0.9188189980148566,1.1499437526567733,0.8709809694479165,1.0625120387724727,0.8680236677278522,1.0784190869465222,0.9440589445395516,1.0658797351016671,0.9902784944453862,1.0530421789127145,0.9884421436568241,0.9929601517661585,0.8578238059489725,1.012004081573211,0.9584062161005872,1.008072950083849,1.007687851257682,1.0,1.0,-0.4034816324710846,-0.6700071692466736,-0.41237273812294,-0.7473697662353516,-0.4135056436061859,-0.7781656980514526,-0.4117894768714905,-0.7677431106567383,-0.3794021904468536,-0.6894950866699219,-0.3878032863140106,-0.7491225004196167,-0.3936015963554382,-0.7753648161888123,-0.3943096697330475,-0.7692490816116333
A,0.0,0.0,1.047898444447463,1.2522892984677545,1.1374498225324572,1.082852757899529,1.1727392420067937,0.9078923266798505,1.2192885647833827,0.7752101146694363,1.1041160419641927,0.7207693415754953,1.0865905439479573,0.8887398810624706,1.0678625117597094,1.013481305751967,1.0594941072908823,0.984861784916559,1.011382073440587,0.6630494280755167,0.9897407918008336,0.878916508984336,0.992166110720313,1.0351901613339214,1.0,1.0,-0.330130934715271,-0.2283259630203247,-0.3212531208992004,-0.3030708432197571,-0.3281280100345611,-0.3528079092502594,-0.3344859182834625,-0.3428365588188171,-0.3017656803131103,-0.2466887235641479,-0.2949428856372833,-0.3072144985198974,-0.3037024736404419,-0.3486036658287048,-0.3111064434051513,-0.3450972139835357
